hash|author|date|comment
7a8de91c|Evan You|Thu Feb 21 14:27:33 2019 -0500|fix(compiler): handle negative length in codeframe repeat
173042bb|Evan You|Thu Feb 21 14:14:35 2019 -0500|refactor: improve test case
2f3020e9|DSha|Fri Feb 22 03:01:53 2019 +0800|fix(#9511): avoid promise catch multiple times (#9526)
8a80a23e|Evan You|Thu Feb 21 13:54:28 2019 -0500|fix: avoid errors thrown during dom props update breaking the entire app
cd3d202e|Evan You|Thu Feb 21 13:31:58 2019 -0500|refactor: simplify conditions
7ec46279|Evan You|Thu Feb 21 08:52:15 2019 -0500|fix: ensure generated scoped slot code is compatible with 2.5
d9b27a92|Evan You|Wed Feb 20 21:48:33 2019 -0500|fix: ensure scoped slots update in conditional branches
b3bd3116|vue-bot|Wed Feb 20 11:37:17 2019 -0500|chore: update sponsors [ci skip] (#9538)
9d4c972c|vue-bot|Wed Feb 20 11:19:15 2019 -0500|chore: update sponsors [ci skip] (#9537)
8f004ea4|Evan You|Mon Feb 18 17:17:47 2019 -0500|fix: scoped slots should update when inside v-for
bb0aab66|Evan You|Mon Feb 18 17:16:22 2019 -0500|ci: pin webpack version
1d331661|Evan You|Mon Feb 18 16:34:46 2019 -0500|chore: bump webpack (fix PR build cache)
ee29e41e|katashin|Tue Feb 19 02:56:17 2019 +0800|fix: avoid possible infinite loop by accessing observables in error handler (#9489)
a702d194|Evan You|Mon Feb 11 23:20:09 2019 -0500|build: release 2.6.6
ac7a5bda|Evan You|Mon Feb 11 23:20:04 2019 -0500|build: build 2.6.6
29c348f3|Evan You|Mon Feb 11 22:54:35 2019 -0500|fix: fix keyCode check for Chrome autofill fake key events
21fca2ff|Evan You|Mon Feb 11 11:30:14 2019 -0500|fix: ensure scoped slot containing passed down slot content updates properly
11deaa93|Evan You|Mon Feb 11 00:14:34 2019 -0500|build: release 2.6.5
1489b99f|Evan You|Mon Feb 11 00:14:30 2019 -0500|build: build 2.6.5
e7d49cdc|Evan You|Sun Feb 10 22:24:18 2019 -0500|fix: allow passing multiple arguments to scoped slot
060686d6|Evan You|Sun Feb 10 22:23:22 2019 -0500|fix: do not cache scoped slots when mixed with normal slots
0bad7e2a|Evan You|Sat Feb 9 01:16:41 2019 -0500|fix: bail out of event blocking for iOS bug
