hash|author|date|comment
661562fc5|Andrew Clark|Fri Jun 14 16:51:27 2019 -0700|Fix outdated test comments (#15892)
788da69b7|Andrew Clark|Fri Jun 14 16:10:39 2019 -0700|[Suspense] Fix bad loading state not being delayed (#15891)
353e0ee47|Dominic Gannaway|Fri Jun 14 23:11:54 2019 +0100|[Flare] remove stopLocalPropagation option + modify responder ownership (#15889)
a146c1f9e|Dominic Gannaway|Fri Jun 14 22:52:26 2019 +0100|[Flare] Refactor of Press to fix various issues (#15878)
de7a09c1e|Dan Abramov|Fri Jun 14 14:57:20 2019 +0100|[Fresh] Make transform resilient to plugin order (#15883)
2fe8fd290|Andrew Clark|Thu Jun 13 18:17:17 2019 -0700|[Suspense] Use style.setProperty to set display (#15882)
b4b3a1dc6|Andrew Clark|Thu Jun 13 15:59:35 2019 -0700|Fix fuzz test environment variable
e91dd70ba|Andrew Clark|Thu Jun 13 15:58:40 2019 -0700|Remove disableYielding feature flag (#15654)
4d949d764|Timothy Yung|Wed Jun 12 11:37:41 2019 +0100|[React Native] Replace touch discrepancy errors to warnings (#15866)
45acbdc0b|Dominic Gannaway|Wed Jun 12 02:19:02 2019 +0100|[Flare] Unsure root events are removed on contextmenu (#15862)
198ed661c|Andrew Clark|Tue Jun 11 11:40:06 2019 -0700|[Suspense] Use !important to hide Suspended nodes (#15861)
191920605|Dan Abramov|Tue Jun 11 19:37:42 2019 +0100|[Fresh] Implement missing features (#15860)
c403ae4d3|Dominic Gannaway|Mon Jun 10 19:08:53 2019 +0100|[Flare] Move Press root event removal till click phase (#15854)
f4cd7a38d|Dominic Gannaway|Mon Jun 10 16:51:26 2019 +0100| [Flare] Listen to document.body + add stopPropagation to Press (#15853)
425473f43|Dominic Gannaway|Fri Jun 7 15:57:10 2019 +0100|[Flare] Improve runtime performance of hit target intersection (#15836)
def56c979|Dan Abramov|Thu Jun 6 10:53:12 2019 -0700|[Fresh] Capture Hook signatures lazily on first render (#15832)
8cfcfe0fc|Dominic Gannaway|Thu Jun 6 18:38:46 2019 +0100|[Flare] Fix ES6 issues with IE11 (#15834)
d0e041aee|Dan Abramov|Wed Jun 5 16:13:42 2019 -0700|[Fresh] Support classes by force-remounting them on edit (#15801)
73c27d8b4|Dominic Gannaway|Wed Jun 5 18:20:34 2019 +0100|[Flare] Add basic Scroll event responder module (#15827)
c72dceffb|Dominic Gannaway|Wed Jun 5 17:51:41 2019 +0100|[Flare] Small Swipe/Drag fixes (#15825)
6aaa43708|Christoph Nakazawa|Wed Jun 5 14:20:09 2019 +0100|Rename ReactFeatureFlags to remove the `.fb` suffix. (#15826)
843a59ab6|Ricky|Wed Jun 5 13:21:13 2019 +0100|[React Native] Remove eventTypes from ReactNativeBridgeEventPlugin (#15802)
7b28ad119|Andrew Clark|Tue Jun 4 17:20:06 2019 -0700|[Flare] EventPriority enum (#15823)
d707a7579|Sunil Pai|Tue Jun 4 16:36:07 2019 -0700|nit: a quick copy edit for an act() message/comment (#15805)
cfb79ee5b|Dominic Gannaway|Tue Jun 4 23:58:11 2019 +0100|[Flare] Fix isTouchEvent (#15824)
6b5deeed5|Andrew Clark|Tue Jun 4 13:35:52 2019 -0700|[Events] Add support for events that are both user-blocking and continuous (#15811)
7fa5a716e|Brian Vaughn|Tue Jun 4 13:28:41 2019 -0700|Use Circle CI API v2 to get artifacts job ID (#15821)
8d4fb132e|Dominic Gannaway|Tue Jun 4 20:58:20 2019 +0100|[Flare] Fix nativeEvent.x/y for older browsers (#15820)
2534c0c92|Dominic Gannaway|Tue Jun 4 18:10:15 2019 +0100|[Flare] Add event position properties to Hover responder (#15819)
b63a41d38|Brian Vaughn|Mon Jun 3 17:29:06 2019 -0700|Updated release script to be Workflow aware (#15809)
dd43cb5fb|Nicolas Gallagher|Mon Jun 3 14:59:26 2019 -0700|[Flare] Fix isPressWithinResponderRegion logic (#15808)
4f6cab547|Nicolas Gallagher|Mon Jun 3 14:34:08 2019 -0700|[Flare] Ignore keyboard interactions on text input children (#15810)
fa1e8df11|Simen Bekkhus|Mon Jun 3 21:46:34 2019 +0200|chore: use jest-serializer-raw for react-fresh snapshots (#15806)
07da821bf|James Ide|Mon Jun 3 07:58:31 2019 -0700|[react-native] Rewrite Haste imports in RN shims and add .fb.js extension (#15786)
a383c4678|Jordan Rome|Sun Jun 2 21:20:51 2019 -0400|[ESLint] don't warn for Flow type variables (#15804)
5763f1d4c|Andrew Clark|Fri May 31 16:33:11 2019 -0700|[Events] Nested discrete events across systems
7aa35ceae|Andrew Clark|Thu May 30 14:41:04 2019 -0700|Fix casing of shouldflushDiscreteUpdates
91635dd48|Andrew Clark|Thu May 30 14:38:16 2019 -0700|Switch to "discrete" and "continuous" terminology
73c380fca|Andrew Clark|Fri May 31 14:13:10 2019 -0700|WorkPhase -> ExecutionContext
88b396382|Nicolas Gallagher|Fri May 31 14:53:09 2019 -0700|[Flare] Remove deprecated keypress event (#15795)
63fe08eef|Mateusz Burzyński|Fri May 31 23:33:43 2019 +0200|React Events: allow Tab+Alt on Mac in Focus responder (#15679)
113497cc0|Sebastian Markbåge|Thu May 30 16:37:56 2019 -0700|[Suspense] Change Suspending and Restarting Heuristics (#15769)
3b2302253|Andrew Clark|Wed May 29 21:30:16 2019 -0700|Fix sizebot (#15771)
0f7cc2ba8|Nicolas Gallagher|Wed May 29 20:19:31 2019 -0700|React Events: check window before using navigator (#15768)
ad9a6df58|Andrew Clark|Wed May 29 15:11:25 2019 -0700|Move fixtures test to its own CI job
2670bc340|Nicolas Gallagher|Wed May 29 15:00:43 2019 -0700|React Events: support legacy browser Spacebar key value (#15766)
9aad17d60|Sunil Pai|Wed May 29 22:56:04 2019 +0100|using the wrong renderer's act() should warn (#15756)
8ce8b9ab8|Andrew Clark|Wed May 29 14:52:11 2019 -0700|Update name of CI job in sizebot (#15767)
1cc3bba00|Andrew Clark|Wed May 29 14:34:50 2019 -0700|Parallelizes the build script across multiple processes (#15716)
30b1a8009|Andrew Clark|Wed May 29 14:20:29 2019 -0700|Don't extract errors in CI (#15758)
112168f31|Andrew Clark|Wed May 29 11:29:04 2019 -0700|Lint rule for unminified errors (#15757)
142cf56cb|Dominic Gannaway|Wed May 29 17:53:55 2019 +0100|[Flare] Adds onContextMenu and fixes some contextmenu related issues (#15761)
556cc6fe1|Dan Abramov|Wed May 29 14:15:31 2019 +0100|[Fresh] Generate signatures for Hooks (#15733)
b74fa9868|Sebastian Markbåge|Tue May 28 14:19:51 2019 -0700|Clean up (#15755)
d915a4c1f|Andrew Clark|Tue May 28 11:41:01 2019 -0700|[Suspense] Add Batched Mode variant to fuzz tester (#15734)
7c5645ddb|Owen Conti|Tue May 28 11:34:18 2019 -0600|Fix double spaces. (#15641)
