hash|author|date|comment
a94bdc679|Pete Bacon Darwin|Sat May 25 17:44:18 2019 +0100|refactor(ivy): ngcc - pass whole entry-point object to `makeEntryPointBundle()` (#30591)
2dfd97d8f|Pete Bacon Darwin|Thu May 23 22:40:17 2019 +0100|fix(ivy): ngcc - support bare array constructor param decorators (#30591)
869e3e8ed|Pete Bacon Darwin|Thu May 23 18:49:16 2019 +0100|fix(ivy): ngcc - infer entry-point typings from format paths (#30591)
7c4c67641|Pete Bacon Darwin|Tue May 21 15:23:24 2019 +0100|feat(ivy): customize ngcc via configuration files (#30591)
4004d15ba|Pete Bacon Darwin|Wed May 22 17:34:09 2019 +0100|test(ivy): ngcc refactor mock file-systems to make each spec independent (#30591)
abbbc69e6|Pete Bacon Darwin|Wed May 22 15:01:33 2019 +0100|test(ivy): ngcc - remove use of mock-fs in tests (#30591)
4fe0e7536|Pawel Kozlowski|Mon Jun 24 17:27:12 2019 +0200|refactor(ivy): rename applyXYZ to executeActionOnXYZ for clarity (#31182)
103064a3d|Pawel Kozlowski|Mon Jun 24 17:21:02 2019 +0200|refactor(ivy): remove code duplication from applyXYZ functions (#31182)
29a990923|Misko Hevery|Fri Jun 7 20:46:11 2019 -0700|refactor(ivy): simplify `walkTNodeTree` method for readability (#31182)
7186f9c01|Pete Bacon Darwin|Thu Jun 6 20:22:32 2019 +0100|refactor(ivy): implement a virtual file-system layer in ngtsc + ngcc (#30921)
1e7e06542|Romain Freydiger|Tue Jun 25 14:41:20 2019 +0200|docs: correct indention for code example in deployment guide (#31255)
ae1ac4598|Umair Sarfraz|Sat Jun 22 00:49:11 2019 +0500|docs(core): update code sample for "outputs" attribute (#31199)
280e8563f|Alex Rickabaugh|Tue Jun 25 13:11:54 2019 -0700|Revert "build(bazel): update to bazel 0.27.0 and fix compat in @angular/bazel package (#31019)" (#31267)
660800ca4|Alex Rickabaugh|Tue Jun 25 13:11:54 2019 -0700|Revert "build: update to rules_nodejs 0.32.2 (#31019)" (#31267)
2c0782063|Alex Rickabaugh|Tue Jun 25 13:11:53 2019 -0700|Revert "build(bazel): cleanup entry_point target (#31019)" (#31267)
44b1ce6c7|Alex Rickabaugh|Tue Jun 25 13:11:52 2019 -0700|Revert "build: disable must-use-promises check in ts_library tsetse for tests as... (#31019)" (#31267)
5eb4691de|Alex Rickabaugh|Tue Jun 25 13:11:52 2019 -0700|Revert "build(bazel): remove deprecated rules_nodejs NodeModuleInfo provider (#31019)" (#31267)
